date,location,time,lat_lon,is_floodprone,is_flooded,rainfall_1hr_prior,rainfall_2hr_prior,rainfall_3hr_prior,nearest_station_distance,rainfall_5min_prior,rainfall_10min_prior,rainfall_15min_prior,rainfall_20min_prior,rainfall_25min_prior,rainfall_30min_prior,rainfall_35min_prior,rainfall_40min_prior,rainfall_45min_prior,rainfall_50min_prior,rainfall_55min_prior
2021-12-27,slip road of ECP from Bedok South Ave 1 exit towards City,0001,"1.3092057052450443, 103.93505370503796",1,0,0.0,0.0,0.0,1.0196573545138201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-28,Ang Mo Kio Ave 10,0635,"1.374214, 103.855",0,0,0.0,0.0,0.0,0.689042735273602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-11,Bishan Street 12,0710,"1.345419, 103.8507",0,0,0.0,0.0,0.0,0.4106620332035377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-07,Braddell Road,0745,"1.343226, 103.8546",0,0,0.0,0.0,0.0,0.7138521775119848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,Buangkok Crescent,0800,"1.384873, 103.8823",0,0,0.0,0.0,0.0,0.8488808411156811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-25,Bukit Batok Central,0825,"1.348442, 103.7464",0,0,0.0,0.0,0.0,1.8911226821472014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-26,Bukit Panjang Ring Road,0840,"1.385983, 103.764",0,0,0.0,0.0,0.0,0.5726258080987546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-21,Chai Chee Avenue,0930,"1.325113, 103.9241",0,0,0.0,0.0,0.0,2.571416563064609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-02,Changi Business Park Crescent,0955,"1.337153, 103.9691",0,0,0.0,0.0,0.0,1.815745986102017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-10,Choa Chu Kang Loop,1010,"1.386275, 103.7436",0,0,0.0,0.0,0.0,1.6650595033102535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-19,12 Changi Road,0355,"1.3248627, 103.9292277",0,0,0.0,0.0,0.0,1.0239763956480568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-10,18 Marine Parade,0445,"1.3058793, 103.9031707",0,0,0.0,0.0,0.0,0.8064236193886514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-03,67 Holland Drive,0600,"1.3136116, 103.779478",0,0,0.0,0.0,0.0,1.7310920481032532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-11,86 Bedok Reservoir Road,0720,"1.3379018, 103.9193629",0,0,0.0,0.0,0.0,2.627377986104066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-14,33 Punggol Field Walk,0800,"1.3909882, 103.9117229",0,0,0.0,0.0,0.0,1.353896845694023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
