location,lat_lon
Macpherson Road,"1.331099,103.8785838"
Hougang Ave 1,"1.3544184,103.889824"
Tampines Road [Jln Teliti],"1.3611782,103.8910565"
Lorong Ong Lye,"1.3479061,103.8790427"
Lorong Gambir,"1.3455826,103.8755509"
Macpherson Road / Harvey Road,"1.33262,103.8846626"
Junction of Yishun Ave 2 and Yishun Ave 5 [slip road],"1.4303202,103.8352756"
Admiralty Road West near Sembawang Shipyard Gate 3,"1.4622687237794751, 103.81788714770472"
[Junction of] Woodlands Road and Mandai Estate,"1.4073702,103.7561939"
junction of  Woodlands Road and Mandai Road,"1.4114657,103.7559205"
slip road of Yishun Ave 2 and Yishun Ave 5,"1.4303202,103.8352756"
Slip road from Yishun Ave 2 to Yishun Ave 5,"1.4303202,103.8352756"
Jalan Seaview,"1.300828,103.8959163"
junction of Ang Mo Kio Ave 5 and Ang Mo Kio Industrial Park 2,"1.3779262,103.8634809"
junction of Jln Remaja and HillView Ave,"1.357061,103.7622846"
junction of Chai Chee Road and New Upper Changi Road,"1.3228061,103.9233201"
Sembawang Road near Sembawang Shopping Centre,"1.4415882071571406, 103.82430262414891"
"Dunearn Road, near Binja Park","1.3351504,103.7864808"
"Junction of Ulu Pandan Road and Clementi Road, slip road","1.3188686010325699, 103.77147548507898"
"Dunearn Road, near Sime Darby Centre","1.3362016651568525, 103.78332625319909"
Lorong Kismis,"1.3374037937983123, 103.76831395274883"
Junction of Sunset Drive and Sunset Square,"1.3256378,103.7664904"
Ang Mo Kio Ave 5 just before Slip Road to CTE [City],"1.3764538124419166, 103.85769323125496"
Slip Road Junction of Yishun Ave 2 & Yishun Ave 5,"1.4303202,103.8352756"
slip road of ECP from Bedok South Ave 1 exit towards City,"1.3092057052450443, 103.93505370503796"
Junction of New Upper Changi Road and Chai Chee Road,"1.3228061,103.9233201"
